Years,CO2,CH4,NOx
1750,306.9702264,19.01978312,12.73521194
1751,312.4430617,18.91510887,12.59230324
1752,318.0202707,18.88971181,12.59427042
1753,323.6963144,19.12137723,12.53982033
1754,329.4804701,19.50906107,12.63683678
1755,335.3709633,19.50045493,12.76599125
1756,342.0164586,19.4625366,12.41616261
1757,348.1255317,20.02354066,13.1331518
1758,354.3469199,19.93400533,12.97934533
1759,360.6826894,20.14146621,12.75254609
1760,367.1312491,20.41679714,12.71269604
1761,374.6629758,20.45599017,12.96678586
1762,381.3546899,20.45168738,12.49978928
1763,388.1694376,20.54517934,12.63295473
1764,395.1094824,20.26091721,12.57663725
1765,402.1771294,20.919155,12.73808006
1766,410.6533605,20.8535919,12.76007905
1767,417.9832976,20.99917946,12.74570396
1768,425.4480097,21.65945211,13.26640323
1769,433.0499764,21.49633535,12.85785079
1770,440.7917227,21.63439757,12.89891822
1771,450.0209939,21.4289211,12.62324271
1772,458.0500821,21.39461572,12.52400747
1773,466.2268073,21.59523139,12.46738959
1774,474.5538857,22.25970773,12.78390257
1775,483.0340833,22.20096329,12.86929116
1776,493.0892797,22.14194213,12.40741669
1777,501.8842184,22.56871006,12.93458349
1778,510.8408836,22.85608093,13.20751695
1779,519.9622507,22.82063569,12.69699
1780,529.255045,23.24616665,12.71506421
1781,540.5146818,23.24965548,12.87790002
1782,550.1485823,23.34175812,12.46113468
1783,559.9633387,23.37991679,12.44438333
1784,569.9548195,23.2940423,12.59751721
1785,580.1377108,23.80210554,12.55248193
1786,592.7986355,23.831995,12.5678111
1787,603.3552317,24.17652818,12.76091694
1788,614.1022,24.85592892,13.26480759
1789,625.0505015,24.71707284,12.84626138
1790,636.2000767,24.94220857,12.93202741
1791,649.8088915,24.77843217,12.63941855
1792,662.0189675,24.81889294,12.65272496
1793,673.8100361,25.03153141,12.47524671
1794,685.7482222,25.76753778,12.81634877
1795,697.9661661,25.77334281,12.87258787
1796,711.4967718,25.74058407,12.31586242
1797,725.3138966,26.23006226,12.94441319
1798,739.2238456,26.54644012,13.18985696
1799,753.7167439,26.70648817,12.75367575
1800,768.8829427,27.05634308,12.70371109
1801,782.2756363,27.12488718,12.88157821
1802,804.6596181,27.33978432,12.53033251
1803,813.8236812,27.32049985,12.39498015
1804,831.1424085,27.46474997,12.71613281
1805,845.0038809,27.9507982,12.62431268
1806,861.5128149,28.13437245,12.73432599
1807,879.2076322,28.45865603,12.83197336
1808,892.1663403,29.18524117,13.36938481
1809,907.951543,29.12865813,12.94143866
1810,926.2632139,29.42453242,13.01213284
1811,944.8086043,29.40578756,12.8714024
1812,962.8439813,29.4202985,12.73096382
1813,979.9841126,29.77847603,12.62618564
1814,998.1742518,30.54785186,12.96379003
1815,1017.179377,30.64433954,13.06602172
1816,1039.798662,30.79985622,12.69818309
1817,1060.178793,31.19839541,13.07654651
1818,1079.051762,31.68760832,13.49727807
1819,1098.198146,31.84544135,13.01846415
1820,1118.240362,32.33339467,13.00218267
1821,1138.671983,32.52138863,13.23594367
1822,1160.732096,32.73451052,12.71501678
1823,1184.381484,32.75571509,12.63263492
1824,1206.7856,33.0519787,12.99566306
1825,1230.519022,33.52533882,12.87246123
1826,1252.580684,33.7481029,12.84794656
1827,1279.061314,34.15505001,13.01608087
1828,1302.013185,34.99912851,13.5204643
1829,1324.109077,35.01640513,13.13944028
1830,1370.185005,35.40215534,13.26451505
1831,1389.044669,35.37418705,12.96555056
1832,1413.098384,35.56272349,12.96149608
1833,1439.480147,35.98083111,12.82735594
1834,1466.073069,36.76106097,13.10235903
1835,1493.471848,36.88278973,13.13355177
1836,1533.708753,37.24729235,12.86713343
1837,1560.098752,37.69980678,13.27038433
1838,1590.595605,38.24210962,13.60526498
1839,1621.560628,38.51117556,13.18858095
1840,1657.462438,38.88776194,12.88954454
1841,1689.571583,39.38162317,13.43207834
1842,1725.793076,39.61872888,12.9286274
1843,1758.042296,39.65326382,12.63268139
1844,1796.642646,40.04426499,13.02434548
1845,1841.466212,40.66967667,12.99992982
1846,1873.876631,40.97519975,12.97255355
1847,1917.343629,41.61647168,13.27153028
1848,1948.146517,42.44947063,13.64758224
1849,1987.163156,42.63396461,13.4241146
1850,2029.711604,43.14236365,13.45657685
1851,2001.589001,43.15191371,13.17243992
1852,2214.528412,43.34412933,13.00181932
1853,2215.463528,43.88435963,13.03425324
1854,2244.969628,44.80907906,13.42199006
1855,2236.480764,44.9570539,13.37365128
1856,2275.331594,45.32147323,12.94614666
1857,2297.442414,46.01300694,13.6609981
1858,2318.733616,46.54057729,13.92945102
1859,2364.4381,46.94962615,13.53148651
1860,2410.148469,47.37614023,13.33856892
1861,2468.125204,48.2346867,13.66780367
1862,2252.982764,49.13056212,13.27771597
1863,2274.239107,49.71022253,13.04474127
1864,2302.029059,50.66032473,13.42555248
1865,2327.607561,51.9800751,13.65613844
1866,2342.038769,52.74699293,13.57734061
1867,2365.247991,53.94102178,13.89761851
1868,2370.987778,55.28767356,14.33158856
1869,2393.112164,55.83359728,13.9440919
1870,2401.481115,56.99659231,14.20074407
1871,2506.71717,57.57401422,14.02316496
1872,2875.067085,58.18710545,13.72527326
1873,2950.953895,59.62016165,14.15646368
1874,2944.278397,60.88850035,14.35225569
1875,3017.966792,61.4471703,14.16158404
1876,3056.069874,62.60294811,14.03711085
1877,3094.696114,63.64524259,14.49647732
1878,3123.437502,64.71120383,14.79085747
1879,3194.630321,65.90279841,14.60701195
1880,3313.382916,66.6649843,14.40860199
1881,3473.343161,67.70670095,14.88509568
1882,3339.511065,68.57787524,14.48444095
1883,3416.541757,69.1859791,14.27050491
1884,3435.540954,70.48060515,14.80607459
1885,3464.025901,71.60546241,14.75707739
1886,3482.180543,72.58254388,14.89467659
1887,3528.344322,73.77743063,15.17142123
1888,3629.86804,75.11035553,15.57510184
1889,3629.432868,75.92960019,15.52671146
1890,3712.263325,77.07862319,15.79194853
1891,3755.563908,77.68229292,15.57973029
1892,3817.903823,78.54558089,15.42330662
1893,3802.169065,79.81501329,15.4875444
1894,3908.886481,81.38345626,16.05810348
1895,4003.983383,82.23116014,16.15737216
1896,4056.965681,83.00005426,15.54914616
1897,4132.980325,84.39253635,16.51075558
1898,4220.272366,85.36127162,16.74484506
1899,4367.555879,86.70543387,16.73482662
1900,4465.964118,87.61328845,16.71573999
1901,4768.881211,88.39116711,17.08681697
1902,4835.690374,89.26282464,17.01305829
1903,5115.661449,89.89074057,17.04726849
1904,5244.746846,91..35674943,17.73743296
1905,5479.764123,92.40132432,18.29801487
1906,5710.02176,93.24998316,18.41936116
1907,6046.017596,94.56080194,19.46355752
1908,5993.608873,95.71237193,19.62614434
1909,6115.290592,96.4666946,19.84444901
1910,6271.034671,97.77187103,20.44725406
1911,6113.829366,98.42938116,20.3822595
1912,6122.579082,99.26614632,20.42827701
1913,6265.77241,100.6125584,21.19823229
1914,5938.952989,102.2840587,21.34701392
1915,5864.556462,103.0579197,21.29313163
1916,6101.45338,104.0889435,21.6836961
1917,6227.239689,105.4397415,23.00419095
1918,6205.48845,106.7459316,23.38021169
1919,5833.870141,108.095107,22.75197626
1920,6290.309927,109.1336385,24.0391753
1921,6065.154041,109.809348,23.4746721
1922,6219.539618,110.4858104,23.81984363
1923,6673.115779,112.2535641,26.32202243
1924,6735.335735,112.633506,25.58778999
1925,6795.885288,113.6704269,26.22160478
1926,6766.33348,114.5456303,26.46434217
1927,7280.512887,115.74748,27.91811905
1928,7308.504363,116.7958666,28.14557529
1929,7704.453865,118.0199977,29.21456636
1930,7679.533788,119.6701788,29.04143305
1931,7335.495983,119.9075078,26.95423626
1932,6651.920781,121.4219873,26.74457595
1933,6798.478465,122.3437659,26.61269603
1934,7038.366964,123.9532999,28.25939192
1935,7216.325137,124.8946044,28.83665246
1936,7612.653059,126.4647048,30.75030733
1937,7825.863317,127.1823371,31.45184796
1938,7580.799501,127.905393,30.00000651
1939,7836.395431,129.5013568,31.64022958
1940,8156.903938,130.1349943,32.7188333
1941,8184.224899,132.2180939,33.48198015
1942,8268.324116,134.7060241,33.98048634
1943,8410.163203,136.6296869,34.96119084
