Year;O3 short;CH4;O3 long;SWV
2000;29.8132256067465;-11.8116996126878;-5.9058498063439;-1.77175494190317
2001;28.8417392317192;-11.4887440387512;-5.74437201937562;-1.72331160581269
2002;29.0656932347124;-11.6407101106858;-5.8203550553429;-1.74610651660287
2003;29.2139554280695;-11.7635074395081;-5.88175371975403;-1.76452611592621
2004;31.229634235101;-12.6433176004472;-6.3216588002236;-1.89649764006708
2005;32.9522526831522;-13.4130313501979;-6.70651567509896;-2.01195470252969
2006;33.7665789462293;-13.8065539228161;-6.90327696140803;-2.07098308842241
2007;35.1954821334464;-14.4557806745247;-7.22789033726237;-2.16836710117871
2008;35.4846968129208;-14.6403726425666;-7.32018632128331;-2.19605589638499
2009;34.0845649214105;-14.1261946865425;-7.06309734327126;-2.11892920298138
2010;36.2675537047714;-15.0987883031385;-7.54939415156924;-2.26481824547077
2011;37.3431597349271;-15.8083386935171;-7.90416934675855;-2.37125080402756
2012;37.7473789340928;-16.0412750477526;-8.0206375238763;-2.40619125716289
2013;38.8202710718259;-16.5610383514907;-8.28051917574536;-2.48415575272361
2014;40.0415226619943;-17.1481193726825;-8.57405968634123;-2.57221790590237
2015;42.228316867402;-18.1545964852323;-9.07729824261614;-2.72318947278484
2016;44.2706716872071;-18.9812045618906;-9.49060228094528;-2.84718068428358
2017;46.8826413167523;-20.1010956310421;-10.0505478155211;-3.01516434465632
2018;49.3205386652234;-21.1463526038563;-10.5731763019281;-3.17195289057844
